shift [ppm],Intensity [au]
219.05763,170.583
219.05034,254.104
219.04305,83.512
219.03577,111.964
219.02848,202.094
219.02119,92.713
219.0139,158.562
219.00661,188.038
218.99932,215.841
218.99203,185.288
218.98474,133.04
218.97746,107.085
218.97017,7.161
218.96288,5.9
218.95559,32.896
218.9483,44.062
218.94101,113.102
218.93372,215.044
218.92643,230.771
218.91915,178.382
218.91186,84.101
218.90457,90.756
218.89728,27.852
218.88999,28.047
218.8827,152.978
218.87541,56.379
218.86812,99.336
218.86084,74.507
218.85355,103.289
218.84626,164.843
218.83897,123.361
218.83168,142.435
218.82439,176.263
218.8171,271.925
218.80981,142.035
218.80253,94.014
218.79524,82.247
218.78795,106.74
218.78066,27.873
218.77337,23.165
218.76608,136.594
218.75879,25.745
218.75151,25.165
218.74422,97.192
218.73693,162.384
218.72964,152.945
218.72235,57.008
218.71506,12.089
218.70777,54.998
218.70048,148.889
218.6932,199.384
218.68591,81.8
218.67862,65.965
218.67133,75.053
218.66404,86.489
218.65675,183.936
218.64946,178.136
218.64217,193.051
218.63489,198.355
218.6276,153.579
218.62031,66.311
218.61302,49.547
218.60573,88.339
218.59844,12.066
218.59115,82.2
218.58386,27.651
218.57658,129.465
218.56929,158.074
218.562,44.987
218.55471,30.86
218.54742,138.08
218.54013,210.432
218.53284,196.366
218.52555,52.586
218.51827,79.598
218.51098,42.235
218.50369,146.993
218.4964,236.576
218.48911,97.88
218.48182,37.719
218.47453,175.522
218.46724,21.439
218.45996,18.926
218.45267,-28.321
218.44538,-84.901
218.43809,-93.758
218.4308,-61.381
218.42351,-4.51
218.41622,-61.023
218.40894,-52.14
218.40165,195.409
218.39436,273.392
218.38707,100.133
218.37978,33.502
218.37249,121.307
218.3652,185.839
218.35791,238.454
218.35063,382.476
218.34334,273.561
218.33605,193.495
218.32876,238.435
218.32147,257.496
218.31418,343.108
218.30689,270.262
218.2996,239.764
218.29232,137.198
218.28503,115.578
218.27774,134.971
218.27045,105.412
218.26316,118.965
218.25587,67.344
218.24858,59.552
218.24129,18.191
218.23401,41.057
218.22672,85.256
218.21943,60.473
218.21214,-38.297
218.20485,-65.661
218.19756,185.601
218.19027,194.051
218.18298,119.68
218.1757,145.522
218.16841,149.55
218.16112,156.335
218.15383,128.649
218.14654,-50.267
218.13925,-25.425
218.13196,-10.55
218.12467,27.59
218.11739,-20.535
218.1101,24.255
218.10281,167.503
218.09552,221.997
218.08823,247.026
218.08094,211.815
218.07365,161.539
218.06636,90.85
218.05908,24.449
218.05179,7.615
218.0445,211.914
218.03721,301.901
218.02992,236.18
218.02263,107.569
218.01534,135.977
218.00806,-27.083
218.00077,-70.566
217.99348,5.956
217.98619,-5.012
217.9789,33.399
217.97161,122.358
217.96432,83.216
217.95703,60.495
217.94975,-41.498
217.94246,-69.788
217.93517,38.586
217.92788,-51.126
217.92059,-18.684
217.9133,-2.27
217.90601,57.075
217.89872,124.154
217.89144,112.862
217.88415,110.489
217.87686,-10.311
217.86957,-3.97
217.86228,-4.455
217.85499,38.085
217.8477,75.548
217.84041,171.455
217.83313,213.313
217.82584,205.953
217.81855,79.256
217.81126,-17.044
217.80397,-13.422
217.79668,74.904
217.78939,195.999
217.7821,365.154
217.77482,250.291
217.76753,98.421
217.76024,50.369
217.75295,-14.744
217.74566,-89.649
217.73837,-29.179
217.73108,48.676
217.72379,147.848
217.71651,108.732
217.70922,18.779
217.70193,75.514
217.69464,241.024
217.68735,207.37
217.68006,241.342
217.67277,279.467
217.66549,121.303
217.6582,-50.208
217.65091,-73.301
217.64362,-7.283
217.63633,131.834
217.62904,180.15
217.62175,217.223
217.61446,202.095
217.60718,-7.239
217.59989,-65.495
217.5926,-83.605
217.58531,-53.476
217.57802,10.124
217.57073,69.392
217.56344,8.876
217.55615,8.779
217.54887,107.479
217.54158,195.293
217.53429,-11.756
217.527,20.947
217.51971,75.261
217.51242,31.925
217.50513,35.208
217.49784,29.723
217.49056,13.985
217.48327,-20.584
217.47598,-36.594
217.46869,16.409
217.4614,84.071
217.45411,53.226
217.44682,3.038
217.43953,83.503
217.43225,28.107
217.42496,21.99
217.41767,-26.545
217.41038,-24.017
217.40309,-87.764
217.3958,-39.08
217.38851,109.266
217.38122,219.769
217.37394,30.268
217.36665,59.528
217.35936,-130.984
217.35207,-60.531
217.34478,-102.516
217.33749,-119.732
217.3302,-113.78
217.32292,-167.011
217.31563,29.997
217.30834,108.314
217.30105,127.072
217.29376,33.304
217.28647,-109.516
217.27918,-3.694
217.27189,114.554
217.26461,65.633
217.25732,96.579
217.25003,293.234
217.24274,372.113
217.23545,335.405
217.22816,161.025
217.22087,140.366
217.21358,40.523
217.2063,-125.014
217.19901,-247.392
217.19172,-159.231
217.18443,7.211
217.17714,117.834
217.16985,49.05
217.16256,-11.219
217.15527,12.271
217.14799,102.78
217.1407,3.915
217.13341,16.081
217.12612,153
217.11883,205.688
217.11154,60.631
217.10425,18.156
217.09696,58.39
217.08968,-19.123
217.08239,113.448
217.0751,35.372
217.06781,130.757
217.06052,221.59
217.05323,248.471
217.04594,196.018
217.03865,236.269
217.03137,115.085
217.02408,106.984
217.01679,-22.011
217.0095,193.923
217.00221,307.061
216.99492,170.574
216.98763,281.892
216.98034,296.13
216.97306,224.944
216.96577,-25.609
216.95848,131.611
216.95119,53.634
216.9439,192.725
216.93661,272.408
216.92932,93.83
216.92204,-100.484
216.91475,28.425
216.90746,-52.511
216.90017,-93.499
216.89288,-126.161
216.88559,93.359
216.8783,48.566
216.87101,61.744
216.86373,22.115
216.85644,100.526
216.84915,142.855
216.84186,75.774
216.83457,-14.054
216.82728,-78.316
216.81999,-86.728
216.8127,-76.572
216.80542,47.028
216.79813,87.118
216.79084,209.661
216.78355,95.479
216.77626,-87.323
216.76897,-52.159
216.76168,-62.261
216.75439,23.165
216.74711,45.849
216.73982,112.475
216.73253,56.082
216.72524,19.952
216.71795,-8.236
216.71066,-138.029
216.70337,-52.779
216.69608,11.709
216.6888,112.618
216.68151,49.838
216.67422,50.8
216.66693,189.17
216.65964,130.818
216.65235,-63.256
216.64506,-127.626
216.63777,-37.162
216.63049,-30.483
216.6232,-28.106
216.61591,-69.878
216.60862,-5.504
216.60133,26.95
216.59404,-48.952
216.58675,-54.297
216.57947,-42.138
216.57218,-163.581
216.56489,-123.129
216.5576,-183.495
216.55031,-113.975
216.54302,-7.906
216.53573,-82.998
216.52844,-170.209
216.52116,-265.361
216.51387,-278.151
216.50658,-72.387
216.49929,-120.65
216.492,-171.17
216.48471,-156.767
216.47742,-52.837
216.47013,-37.037
216.46285,61.122
216.45556,87.746
216.44827,18.483
216.44098,-132.996
216.43369,-95.797
216.4264,165.148
216.41911,167.956
216.41182,68.96
216.40454,-200.55
216.39725,-337.807
216.38996,-90.51
216.38267,-21.543
216.37538,93.546
216.36809,130.848
216.3608,79.941
216.35351,77.379
216.34623,-30.117
216.33894,-26.814
216.33165,-53.773
216.32436,17.078
216.31707,-61.576
216.30978,-163.368
216.30249,111.308
216.2952,100.448
216.28792,-29.21
216.28063,18.846
216.27334,-13.026
216.26605,42.347
216.25876,118.764
216.25147,191.826
216.24418,96.286
216.2369,273.805
216.22961,394.397
216.22232,271.661
216.21503,84.489
216.20774,41.275
216.20045,67.583
216.19316,16.708
216.18587,-107.022
216.17859,-9.851
216.1713,1.706
216.16401,14.347
216.15672,-105.833
216.14943,-90.95
216.14214,-39.533
216.13485,104.563
216.12756,71.048
216.12028,-43.853
216.11299,-80.908
216.1057,-132.244
216.09841,-161.325
216.09112,-266.821
216.08383,-171.034
216.07654,2.669
216.06925,7.092
216.06197,124.942
216.05468,96.124
216.04739,69.509
216.0401,-66.499
216.03281,-99.66
216.02552,-106.406
216.01823,-21.125
216.01094,-147.702
216.00366,-170.812
215.99637,-158.507
215.98908,-5.108
215.98179,-32.363
215.9745,-50.896
215.96721,-85.693
215.95992,-3.518
215.95263,-129.172
215.94535,-148.11
215.93806,-194.88
215.93077,-206.199
215.92348,-116.272
215.91619,43.515
215.9089,-27.267
215.90161,63.479
215.89432,-68.306
215.88704,-53.206
215.87975,25.878
215.87246,31.825
215.86517,-49.504
215.85788,152.248
215.85059,102.294
215.8433,4.598
215.83602,-52.107
215.82873,120.712
215.82144,39.899
215.81415,41.72
215.80686,-41.735
215.79957,30.539
215.79228,205.352
215.78499,261.89
215.77771,115.219
215.77042,75.132
215.76313,-28.902
215.75584,-107.306
215.74855,-201.672
215.74126,-74.91
215.73397,1.44
215.72668,42.521
215.7194,61.08
215.71211,29.086
215.70482,51.945
215.69753,0.288
215.69024,76.481
215.68295,-10.751
215.67566,-32
215.66837,72.246
215.66109,67.267
215.6538,43.017
215.64651,194.592
215.63922,47.985
215.63193,-6.668
215.62464,24.579
215.61735,146.785
215.61006,168.494
215.60278,-3.511
215.59549,-61.176
215.5882,-173.842
215.58091,-146.706
215.57362,-170.815
215.56633,-44.911
215.55904,-174.261
215.55175,-296.198
215.54447,40.074
215.53718,341.085
215.52989,244.709
215.5226,153.783
215.51531,64.141
215.50802,-12.776
215.50073,-81.915
215.49345,-61.593
215.48616,1.985
215.47887,12.087
215.47158,-215.485
215.46429,-78.192
215.457,-92.057
215.44971,-56.491
215.44242,-69.233
215.43514,45.75
215.42785,6.853
215.42056,66.577
215.41327,38.512
215.40598,-83.651
215.39869,-106.382
215.3914,-196.658
215.38411,-220.9
215.37683,-141.067
215.36954,-52.359
215.36225,-141.768
215.35496,-256.307
215.34767,-215.102
215.34038,-50.54
215.33309,137.853
215.3258,236.505
215.31852,87.226
215.31123,-20.63
215.30394,-126.951
215.29665,-206.885
215.28936,-237.644
215.28207,-262.724
215.27478,2.426
215.26749,7.021
215.26021,-27.602
215.25292,-31.529
215.24563,94.323
215.23834,45.354
215.23105,-68.905
215.22376,-239.669
215.21647,-365.977
215.20918,-368.972
215.2019,-186.862
215.19461,-136.857
215.18732,-160.942
215.18003,-11.458
215.17274,119.859
215.16545,79.371
215.15816,-47.179
215.15088,-200.878
215.14359,-112.02
215.1363,-12.411
215.12901,-121.055
215.12172,-260.901
215.11443,-130.083
215.10714,-7.838
215.09985,118.598
215.09257,53.284
215.08528,-53.481
215.07799,-90.696
215.0707,2.601
215.06341,75.922
215.05612,-15.215
215.04883,-164.961
215.04154,-2.923
215.03426,63.61
215.02697,60.471
215.01968,128.683
215.01239,151.803
215.0051,254.376
214.99781,-90.768
214.99052,-133.41
214.98323,-291.671
214.97595,-135.63
214.96866,-97.573
214.96137,114.139
214.95408,54.211
214.94679,-104.725
214.9395,-92.738
214.93221,-160.049
214.92492,-138.939
214.91764,72.309
214.91035,227.711
214.90306,131.152
214.89577,97.831
214.88848,-59.108
214.88119,-93.247
214.8739,-56.254
214.86661,-81.823
214.85933,-22.234
214.85204,56.684
214.84475,110.116
214.83746,113.879
214.83017,-19.284
