shift [ppm],Intensity [au]
16.18427,-9.15E+01
16.18396,-9.22E+01
16.18366,-9.24E+01
16.18335,-92.249
16.18305,-91.972
16.18274,-91.304
16.18244,-9.01E+01
16.18213,-9.01E+01
16.18183,-9.07E+01
16.18152,-91.176
16.18121,-9.12E+01
16.18091,-8.98E+01
16.1806,-88.412
16.1803,-88.921
16.17999,-9.04E+01
16.17969,-9.15E+01
16.17938,-9.14E+01
16.17908,-9.20E+01
16.17877,-9.22E+01
16.17847,-9.15E+01
16.17816,-9.07E+01
16.17785,-8.96E+01
16.17755,-87.641
16.17724,-8.69E+01
16.17694,-8.66E+01
16.17663,-8.55E+01
16.17633,-8.50E+01
16.17602,-8.41E+01
16.17572,-8.46E+01
16.17541,-8.53E+01
16.1751,-85.002
16.1748,-8.48E+01
16.17449,-84.109
16.17419,-8.41E+01
16.17388,-84.119
16.17358,-8.51E+01
16.17327,-8.56E+01
16.17297,-8.54E+01
16.17266,-8.52E+01
16.17236,-84.187
16.17205,-83.612
16.17174,-8.23E+01
16.17144,-8.18E+01
16.17113,-83.291
16.17083,-8.42E+01
16.17052,-85.064
16.17022,-8.47E+01
16.16991,-8.42E+01
16.16961,-8.44E+01
16.1693,-8.44E+01
16.169,-8.34E+01
16.16869,-8.27E+01
16.16838,-8.26E+01
16.16808,-81.724
16.16777,-8.06E+01
16.16747,-7.99E+01
16.16716,-8.03E+01
16.16686,-8.12E+01
16.16655,-8.15E+01
16.16625,-8.19E+01
16.16594,-8.25E+01
16.16564,-81.631
16.16533,-8.04E+01
16.16502,-7.98E+01
16.16472,-7.92E+01
16.16441,-78.423
16.16411,-77.282
16.1638,-7.68E+01
16.1635,-7.82E+01
16.16319,-7.87E+01
16.16289,-7.93E+01
16.16258,-8.09E+01
16.16228,-8.16E+01
16.16197,-8.21E+01
16.16166,-8.05E+01
16.16136,-7.85E+01
16.16105,-78.461
16.16075,-7.89E+01
16.16044,-78.176
16.16014,-7.78E+01
16.15983,-77.86
16.15953,-78.657
16.15922,-79.266
16.15892,-7.92E+01
16.15861,-78.729
16.1583,-77.505
16.158,-76.35
16.15769,-75.121
16.15739,-74.294
16.15708,-74.563
16.15678,-75.342
16.15647,-75.313
16.15617,-75.924
16.15586,-75.844
16.15556,-74.415
16.15525,-74.536
16.15494,-76.2
16.15464,-75.856
16.15433,-75.492
16.15403,-76.644
16.15372,-77.962
16.15342,-77.65
16.15311,-76.068
16.15281,-75.769
16.1525,-75.34
16.1522,-74.025
16.15189,-73.966
16.15158,-73.844
16.15128,-74.418
16.15097,-75.342
16.15067,-75.781
16.15036,-75.179
16.15006,-74.432
16.14975,-74.371
16.14945,-73.777
16.14914,-73.658
16.14884,-74.466
16.14853,-73.69
16.14822,-72.945
16.14792,-73.628
16.14761,-75.482
16.14731,-75.527
16.147,-75.059
16.1467,-74.888
16.14639,-74.57
16.14609,-73.148
16.14578,-72.054
16.14548,-71.985
16.14517,-70.69
16.14486,-69.611
16.14456,-69.825
16.14425,-70.654
16.14395,-72.242
16.14364,-72.084
16.14334,-71.683
16.14303,-71.067
16.14273,-70.719
16.14242,-70.207
16.14212,-70.143
16.14181,-69.9
16.1415,-69.046
16.1412,-68.643
16.14089,-68.081
16.14059,-67.75
16.14028,-67.57
16.13998,-67.306
16.13967,-67.204
16.13937,-67.114
16.13906,-67.339
16.13876,-66.916
16.13845,-66.731
16.13814,-66.785
16.13784,-66.4
16.13753,-67.196
16.13723,-68.134
16.13692,-68.622
16.13662,-69.63
16.13631,-70.364
16.13601,-70.664
16.1357,-70.533
16.1354,-69.334
16.13509,-68.574
16.13478,-67.033
16.13448,-66.475
16.13417,-66.807
16.13387,-67.211
16.13356,-66.843
16.13326,-66.418
16.13295,-66.56
16.13265,-66.311
16.13234,-64.763
16.13204,-63.056
16.13173,-63.401
16.13142,-65.396
16.13112,-66.025
16.13081,-65.322
16.13051,-64.781
16.1302,-64.797
16.1299,-64.217
16.12959,-62.519
16.12929,-60.804
16.12898,-60.506
16.12868,-61.047
16.12837,-60.601
16.12806,-62.01
16.12776,-61.731
16.12745,-60.801
16.12715,-61.396
16.12684,-61.238
16.12654,-60.166
16.12623,-60.917
16.12593,-61.923
16.12562,-60.901
16.12532,-60.69
16.12501,-61.596
16.1247,-62.76
16.1244,-63.294
16.12409,-62.946
16.12379,-62.353
16.12348,-62.036
16.12318,-61.953
16.12287,-60.682
16.12257,-60.529
16.12226,-61.716
16.12196,-62.489
16.12165,-62.514
16.12134,-61.83
16.12104,-61.115
16.12073,-60.927
16.12043,-60.525
16.12012,-60.432
16.11982,-60.69
16.11951,-60.074
16.11921,-59.328
16.1189,-58.494
16.1186,-58.512
16.11829,-57.667
16.11798,-57.243
16.11768,-57.796
16.11737,-57.143
16.11707,-55.7
16.11676,-55.724
16.11646,-55.738
16.11615,-55.531
16.11585,-55.216
16.11554,-54.207
16.11524,-53.804
16.11493,-55.279
16.11462,-56.236
16.11432,-57.38
16.11401,-58.654
16.11371,-58.128
16.1134,-56.477
16.1131,-55.409
16.11279,-55.029
16.11249,-54.205
16.11218,-54.767
16.11188,-55.652
16.11157,-54.525
16.11126,-53.207
16.11096,-53.522
16.11065,-54.828
16.11035,-55.983
16.11004,-55.175
16.10974,-53.338
16.10943,-51.345
16.10913,-48.961
