shift [ppm],Intensity [au]
16.08775,0
16.08745,0
16.08714,0
16.08684,0
16.08653,0
16.08623,0
16.08592,0
16.08561,0
16.08531,0
16.085,0
16.0847,0
16.08439,0
16.08409,0
16.08378,0
16.08348,0
16.08317,0
16.08287,0
16.08256,0
16.08225,0
16.08195,0
16.08164,0
16.08134,0
16.08103,0
16.08073,0
16.08042,0
16.08012,0
16.07981,0
16.07951,0
16.0792,0
16.07889,0
16.07859,0
16.07828,0
16.07798,0
16.07767,0
16.07737,0
16.07706,0
16.07676,0
16.07645,0
16.07615,0
16.07584,0
16.07553,0
16.07523,0
16.07492,0
16.07462,0
16.07431,0
16.07401,0
16.0737,0
16.0734,0
16.07309,0
16.07279,0
16.07248,0
16.07217,0
16.07187,0
16.07156,0
16.07126,0
16.07095,0
16.07065,0
16.07034,0
16.07004,0
16.06973,0
16.06943,0
16.06912,0
16.06881,0
16.06851,0
16.0682,0
16.0679,0
16.06759,0
16.06729,0
16.06698,0
16.06668,0
16.06637,0
16.06607,0
16.06576,0
16.06545,0
16.06515,0
16.06484,0
16.06454,0
16.06423,0
16.06393,0
16.06362,0
16.06332,0
16.06301,0
16.06271,0
16.0624,0
16.06209,0
16.06179,0
16.06148,0
16.06118,0
16.06087,0
16.06057,0
16.06026,0
16.05996,0
16.05965,0
16.05935,0
16.05904,0
16.05873,0
16.05843,0
16.05812,0
16.05782,0
16.05751,0
16.05721,0
16.0569,0
16.0566,0
16.05629,0
16.05599,0
16.05568,0
16.05537,0
16.05507,0
16.05476,0
16.05446,0
16.05415,0
16.05385,0
16.05354,0
16.05324,0
16.05293,0
16.05263,0
16.05232,0
16.05201,0
16.05171,0
16.0514,0
16.0511,0
16.05079,0
16.05049,0
16.05018,0
16.04988,0
16.04957,0
16.04927,0
16.04896,0
16.04865,0
16.04835,0
16.04804,0
16.04774,0
16.04743,0
16.04713,0
16.04682,0
16.04652,0
16.04621,0
16.04591,0
16.0456,0
16.04529,0
16.04499,0
16.04468,0
16.04438,0
16.04407,0
16.04377,0
16.04346,0
16.04316,0
16.04285,0
16.04255,0
16.04224,0
16.04193,0
16.04163,0
16.04132,0
16.04102,0
16.04071,0
16.04041,0
16.0401,0
16.0398,0
16.03949,0
16.03918,0
16.03888,0
16.03857,0
16.03827,0
16.03796,0
16.03766,0
16.03735,0
16.03705,0
16.03674,0
16.03644,0
16.03613,0
16.03582,0
16.03552,0
16.03521,0
16.03491,0
16.0346,0
16.0343,0
16.03399,0
16.03369,0
16.03338,0
16.03308,0
16.03277,0
16.03246,0
16.03216,0
16.03185,0
16.03155,0
16.03124,0
16.03094,0
16.03063,0
16.03033,0
16.03002,0
16.02972,0
16.02941,0
16.0291,0
16.0288,0
16.02849,0
16.02819,0
16.02788,0
16.02758,0
16.02727,0
16.02697,0
16.02666,0
16.02636,0
16.02605,0
16.02574,0
16.02544,0
16.02513,0
16.02483,0
16.02452,0
16.02422,0
16.02391,0
16.02361,0
16.0233,0
16.023,0
16.02269,0
16.02238,0
16.02208,0
16.02177,0
16.02147,0
16.02116,0
16.02086,0
16.02055,0
16.02025,0
16.01994,0
16.01964,0
16.01933,0
16.01902,0
16.01872,0
16.01841,0
16.01811,0
16.0178,0
16.0175,0
16.01719,0
16.01689,0
16.01658,0
16.01628,0
16.01597,0
16.01566,0
16.01536,0
16.01505,0
16.01475,0
16.01444,0
16.01414,0
16.01383,0
16.01353,0
16.01322,0
16.01292,0
16.01261,0
16.0123,0
16.012,0
16.01169,0
16.01139,0
16.01108,0
16.01078,0
16.01047,0
16.01017,0
16.00986,0
16.00956,0
16.00925,0
16.00894,0
16.00864,0
16.00833,0
16.00803,0
16.00772,0
16.00742,0
16.00711,0
16.00681,0
16.0065,0
16.0062,0
16.00589,0
16.00558,0
16.00528,0
16.00497,0
16.00467,0
16.00436,0
16.00406,0
16.00375,0
16.00345,0
16.00314,0
16.00284,0
16.00253,0
16.00222,0
16.00192,0
16.00161,0
16.00131,0
16.001,0
16.0007,0
16.00039,0
16.00009,0
15.99978,0
15.99948,0
15.99917,0
15.99886,0
15.99856,0
15.99825,0
15.99795,0
15.99764,0
15.99734,0
15.99703,0
15.99673,0
15.99642,0
15.99612,0
15.99581,0
15.9955,0
15.9952,0
15.99489,0
15.99459,0
15.99428,0
15.99398,0
15.99367,0
15.99337,0
15.99306,0
15.99276,0
15.99245,0
15.99214,0
15.99184,0
15.99153,0
15.99123,0
15.99092,0
15.99062,0
15.99031,0
15.99001,0
15.9897,0
15.9894,0
15.98909,0
15.98878,0
15.98848,0
15.98817,0
15.98787,0
15.98756,0
15.98726,0
15.98695,0
15.98665,0
15.98634,0
15.98604,0
15.98573,0
15.98542,0
15.98512,0
15.98481,0
15.98451,0
15.9842,0
15.9839,0
15.98359,0
15.98329,0
15.98298,0
15.98268,0
15.98237,0
15.98206,0
15.98176,0
15.98145,0
15.98115,0
15.98084,0
15.98054,0
15.98023,0
15.97993,0
15.97962,0
15.97932,0
15.97901,0
15.9787,0
15.9784,0
15.97809,0
15.97779,0
15.97748,0
15.97718,0
15.97687,0
15.97657,0
15.97626,0
15.97596,0
15.97565,0
15.97534,0
15.97504,0
15.97473,0
15.97443,0
15.97412,0
15.97382,0
15.97351,0
15.97321,0
15.9729,0
15.97259,0
15.97229,0
15.97198,0
15.97168,0
15.97137,0
15.97107,0
15.97076,0
15.97046,0
15.97015,0
15.96985,0
15.96954,0
15.96923,0
15.96893,0
15.96862,0
15.96832,0
15.96801,0
15.96771,0
15.9674,0
15.9671,0
15.96679,0
15.96649,0
15.96618,0
15.96587,0
15.96557,0
15.96526,0
15.96496,0
15.96465,0
15.96435,0
15.96404,0
15.96374,0
15.96343,0
15.96313,0
15.96282,0
15.96251,0
15.96221,0
15.9619,0
15.9616,0
15.96129,0
15.96099,0
15.96068,0
15.96038,0
15.96007,0
15.95977,0
15.95946,0
15.95915,0
15.95885,0
15.95854,0
15.95824,0
15.95793,0
15.95763,0
15.95732,0
15.95702,0
15.95671,0
15.95641,0
15.9561,0
15.95579,0
15.95549,0
15.95518,0
15.95488,0
15.95457,0
15.95427,0
15.95396,0
15.95366,0
15.95335,0
15.95305,0
15.95274,0
15.95243,0
15.95213,0
15.95182,0
15.95152,0
15.95121,0
15.95091,0
15.9506,0
15.9503,0
15.94999,0
15.94969,0
15.94938,0
15.94907,0
15.94877,0
15.94846,0
15.94816,0
15.94785,0
15.94755,0
15.94724,0
15.94694,0
15.94663,0
15.94633,0
15.94602,0
15.94571,0
15.94541,0
15.9451,0
15.9448,0
15.94449,0
15.94419,0
15.94388,0
15.94358,0
15.94327,0
15.94297,0
15.94266,0
15.94235,0
15.94205,0
