T,Viscosity
2.500000000000000000e+02,3.373496297581885184e+00
2.510000000000000000e+02,3.293574483056921576e+00
2.520000000000000000e+02,3.216158040493948711e+00
2.530000000000000000e+02,3.141151873474344658e+00
2.540000000000000000e+02,3.068465075063207870e+00
2.550000000000000000e+02,2.998010719120115297e+00
2.560000000000000000e+02,2.929705663153767237e+00
2.570000000000000000e+02,2.863470362020782201e+00
2.580000000000000000e+02,2.799228691814836800e+00
2.590000000000000000e+02,2.736907783335204680e+00
2.600000000000000000e+02,2.676437864563423474e+00
2.610000000000000000e+02,2.617752111613774080e+00
2.620000000000000000e+02,2.560786507657767164e+00
2.630000000000000000e+02,2.505479709354612172e+00
2.640000000000000000e+02,2.451772920349714280e+00
2.650000000000000000e+02,2.399609771430782690e+00
2.660000000000000000e+02,2.348936206957128459e+00
2.670000000000000000e+02,2.299700377201763235e+00
2.680000000000000000e+02,2.251852536268456717e+00
2.690000000000000000e+02,2.205344945266816570e+00
2.700000000000000000e+02,2.160131780448090844e+00
2.710000000000000000e+02,2.116169046022561506e+00
2.720000000000000000e+02,2.073414491396590620e+00
2.730000000000000000e+02,2.031827532583177831e+00
2.740000000000000000e+02,1.991369177554880299e+00
2.750000000000000000e+02,1.952001955321802207e+00
2.760000000000000000e+02,1.913689848530419679e+00
2.770000000000000000e+02,1.876398229391133210e+00
2.780000000000000000e+02,1.840093798753915655e+00
2.790000000000000000e+02,1.804744528161967621e+00
2.800000000000000000e+02,1.770319604723405993e+00
2.810000000000000000e+02,1.736789378650265725e+00
2.820000000000000000e+02,1.704125313322920832e+00
2.830000000000000000e+02,1.672299937746207998e+00
2.840000000000000000e+02,1.641286801271256479e+00
2.850000000000000000e+02,1.611060430464245519e+00
2.860000000000000000e+02,1.581596288010095330e+00
2.870000000000000000e+02,1.552870733545430593e+00
2.880000000000000000e+02,1.524860986321154632e+00
2.890000000000000000e+02,1.497545089600572199e+00
2.900000000000000000e+02,1.470901876704236999e+00
2.910000000000000000e+02,1.444910938617700813e+00
2.920000000000000000e+02,1.419552593082917813e+00
2.930000000000000000e+02,1.394807855098510352e+00
2.940000000000000000e+02,1.370658408758141489e+00
2.950000000000000000e+02,1.347086580360160823e+00
2.960000000000000000e+02,1.324075312725288001e+00
2.970000000000000000e+02,1.301608140662555479e+00
2.980000000000000000e+02,1.279669167526931606e+00
2.990000000000000000e+02,1.258243042815106572e+00
3.000000000000000000e+02,1.237314940748750036e+00
3.010000000000000000e+02,1.216870539797289874e+00
3.020000000000000000e+02,1.196896003094762184e+00
3.030000000000000000e+02,1.177377959707687438e+00
3.040000000000000000e+02,1.158303486713218478e+00
3.050000000000000000e+02,1.139660092048877305e+00
3.060000000000000000e+02,1.121435698097267730e+00
3.070000000000000000e+02,1.103618625971010125e+00
3.080000000000000000e+02,1.086197580464947743e+00
3.090000000000000000e+02,1.069161635644366504e+00
3.100000000000000000e+02,1.052500221039569528e+00
3.110000000000000000e+02,1.036203108418647822e+00
3.120000000000000000e+02,1.020260399111722505e+00
3.130000000000000000e+02,1.004662511861282193e+00
3.140000000000000000e+02,9.894001711745121774e-01
3.150000000000000000e+02,9.744643961547053701e-01
3.160000000000000000e+02,9.598464897900214066e-01
3.170000000000000000e+02,9.455380286788849231e-01
3.180000000000000000e+02,9.315308531723776042e-01
3.190000000000000000e+02,9.178170579149391717e-01
3.200000000000000000e+02,9.043889827655867686e-01
3.210000000000000000e+02,8.912392040827433748e-01
3.220000000000000000e+02,8.783605263565910093e-01
3.230000000000000000e+02,8.657459741736336367e-01
3.240000000000000000e+02,8.533887844988852223e-01
3.250000000000000000e+02,8.412823992618263524e-01
3.260000000000000000e+02,8.294204582328845721e-01
3.270000000000000000e+02,8.177967921778849236e-01
3.280000000000000000e+02,8.064054162784536350e-01
3.290000000000000000e+02,7.952405238069619742e-01
3.300000000000000000e+02,7.842964800451195373e-01
3.310000000000000000e+02,7.735678164358332776e-01
3.320000000000000000e+02,7.630492249584410747e-01
3.330000000000000000e+02,7.527355527178779537e-01
3.340000000000000000e+02,7.426217967387734875e-01
3.350000000000000000e+02,7.327030989558971363e-01
3.360000000000000000e+02,7.229747413927495314e-01
3.370000000000000000e+02,7.134321415204903927e-01
3.380000000000000000e+02,7.040708477897225093e-01
3.390000000000000000e+02,6.948865353280277990e-01
3.400000000000000000e+02,6.858750017964236889e-01
3.410000000000000000e+02,6.770321633982645526e-01
3.420000000000000000e+02,6.683540510343588537e-01
3.430000000000000000e+02,6.598368065983886144e-01
3.440000000000000000e+02,6.514766794069427602e-01
3.450000000000000000e+02,6.432700227587635489e-01
3.460000000000000000e+02,6.352132906180188998e-01
3.470000000000000000e+02,6.273030344166431460e-01
3.480000000000000000e+02,6.195358999710222081e-01
3.490000000000000000e+02,6.119086245084818243e-01
3.500000000000000000e+02,6.044180337992547392e-01
3.510000000000000000e+02,5.970610393897753942e-01
3.520000000000000000e+02,5.898346359333349609e-01
3.530000000000000000e+02,5.827358986143024167e-01
3.540000000000000000e+02,5.757619806622713554e-01
3.550000000000000000e+02,5.689101109526606415e-01
3.560000000000000000e+02,5.621775916904186987e-01
3.570000000000000000e+02,5.555617961736656341e-01
3.580000000000000000e+02,5.490601666341863307e-01
3.590000000000000000e+02,5.426702121518662825e-01
3.600000000000000000e+02,5.363895066402525336e-01
3.610000000000000000e+02,5.302156869005488771e-01
3.620000000000000000e+02,5.241464507414741458e-01
3.630000000000000000e+02,5.181795551625006935e-01
3.640000000000000000e+02,5.123128145981059589e-01
3.650000000000000000e+02,5.065440992207702608e-01
3.660000000000000000e+02,5.008713333005279100e-01
3.670000000000000000e+02,4.952924936189904703e-01
3.680000000000000000e+02,4.898056079358238946e-01
3.690000000000000000e+02,4.844087535057686744e-01
