T,Viscosity
2.500000000000000000e+02,2.624510255853389928e+00
2.510000000000000000e+02,2.564150127103855592e+00
2.520000000000000000e+02,2.505640848474355309e+00
2.530000000000000000e+02,2.448913460496767946e+00
2.540000000000000000e+02,2.393901992423191238e+00
2.550000000000000000e+02,2.340543315533643032e+00
2.560000000000000000e+02,2.288777004448834695e+00
2.570000000000000000e+02,2.238545205968848872e+00
2.580000000000000000e+02,2.189792514989723937e+00
2.590000000000000000e+02,2.142465857078831526e+00
2.600000000000000000e+02,2.096514377316931910e+00
2.610000000000000000e+02,2.051889335039855489e+00
2.620000000000000000e+02,2.008544004136096461e+00
2.630000000000000000e+02,1.966433578578359764e+00
2.640000000000000000e+02,1.925515082887390372e+00
2.650000000000000000e+02,1.885747287245262305e+00
2.660000000000000000e+02,1.847090626992981433e+00
2.670000000000000000e+02,1.809507126263644405e+00
2.680000000000000000e+02,1.772960325517740632e+00
2.690000000000000000e+02,1.737415212761534544e+00
2.700000000000000000e+02,1.702838158242807154e+00
2.710000000000000000e+02,1.669196852430725686e+00
2.720000000000000000e+02,1.636460247098314724e+00
2.730000000000000000e+02,1.604598499336869599e+00
2.740000000000000000e+02,1.573582918341924319e+00
2.750000000000000000e+02,1.543385914819847882e+00
2.760000000000000000e+02,1.513980952873171804e+00
2.770000000000000000e+02,1.485342504231037086e+00
2.780000000000000000e+02,1.457446004699037623e+00
2.790000000000000000e+02,1.430267812710032338e+00
2.800000000000000000e+02,1.403785169864405491e+00
2.810000000000000000e+02,1.377976163354689865e+00
2.820000000000000000e+02,1.352819690175492529e+00
2.830000000000000000e+02,1.328295423025354083e+00
2.840000000000000000e+02,1.304383777812489820e+00
2.850000000000000000e+02,1.281065882681322377e+00
2.860000000000000000e+02,1.258323548481443233e+00
2.870000000000000000e+02,1.236139240605004685e+00
2.880000000000000000e+02,1.214496052122708392e+00
2.890000000000000000e+02,1.193377678152395482e+00
2.900000000000000000e+02,1.172768391397963850e+00
2.910000000000000000e+02,1.152653018799696838e+00
2.920000000000000000e+02,1.133016919240357190e+00
2.930000000000000000e+02,1.113845962254444988e+00
2.940000000000000000e+02,1.095126507690844075e+00
2.950000000000000000e+02,1.076845386281790606e+00
2.960000000000000000e+02,1.058989881073639783e+00
2.970000000000000000e+02,1.041547709677274058e+00
2.980000000000000000e+02,1.024507007298247396e+00
2.990000000000000000e+02,1.007856310508892017e+00
3.000000000000000000e+02,9.915845417266005990e-01
3.010000000000000000e+02,9.756809943643708349e-01
3.020000000000000000e+02,9.601353186214960367e-01
3.030000000000000000e+02,9.449375078839449271e-01
3.040000000000000000e+02,9.300778857055516102e-01
3.050000000000000000e+02,9.155470933426460567e-01
3.060000000000000000e+02,9.013360778161501052e-01
3.070000000000000000e+02,8.874360804764919175e-01
3.080000000000000000e+02,8.738386260479589218e-01
3.090000000000000000e+02,8.605355121302912247e-01
3.100000000000000000e+02,8.475187991364380169e-01
3.110000000000000000e+02,8.347808006464623176e-01
3.120000000000000000e+02,8.223140741585825975e-01
3.130000000000000000e+02,8.101114122192816236e-01
3.140000000000000000e+02,7.981658339153298032e-01
3.150000000000000000e+02,7.864705767113873147e-01
3.160000000000000000e+02,7.750190886176868688e-01
3.170000000000000000e+02,7.638050206730314651e-01
3.180000000000000000e+02,7.528222197290900253e-01
3.190000000000000000e+02,7.420647215226199300e-01
3.200000000000000000e+02,7.315267440229322737e-01
3.210000000000000000e+02,7.212026810424962964e-01
3.220000000000000000e+02,7.110870960991771961e-01
3.230000000000000000e+02,7.011747165191424269e-01
3.240000000000000000e+02,6.914604277700050483e-01
3.250000000000000000e+02,6.819392680142534191e-01
3.260000000000000000e+02,6.726064228734965900e-01
3.270000000000000000e+02,6.634572203944960611e-01
3.280000000000000000e+02,6.544871262083770125e-01
3.290000000000000000e+02,6.456917388748184550e-01
3.300000000000000000e+02,6.370667854033905675e-01
3.310000000000000000e+02,6.286081169445900674e-01
3.320000000000000000e+02,6.203117046434433179e-01
3.330000000000000000e+02,6.121736356488944875e-01
3.340000000000000000e+02,6.041901092724951683e-01
3.350000000000000000e+02,5.963574332902096264e-01
3.360000000000000000e+02,5.886720203814314045e-01
3.370000000000000000e+02,5.811303846995681255e-01
3.380000000000000000e+02,5.737291385688210177e-01
3.390000000000000000e+02,5.664649893019977345e-01
3.400000000000000000e+02,5.593347361344614965e-01
3.410000000000000000e+02,5.523352672695110988e-01
3.420000000000000000e+02,5.454635570307024839e-01
3.430000000000000000e+02,5.387166631168304187e-01
3.440000000000000000e+02,5.320917239554592282e-01
3.450000000000000000e+02,5.255859561510844991e-01
3.460000000000000000e+02,5.191966520241793059e-01
3.470000000000000000e+02,5.129211772375245060e-01
3.480000000000000000e+02,5.067569685064028384e-01
3.490000000000000000e+02,5.007015313893629083e-01
3.500000000000000000e+02,4.947524381564122886e-01
3.510000000000000000e+02,4.889073257316308152e-01
3.520000000000000000e+02,4.831638937073177154e-01
3.530000000000000000e+02,4.775199024269199399e-01
3.540000000000000000e+02,4.719731711340930946e-01
3.550000000000000000e+02,4.665215761853654386e-01
3.560000000000000000e+02,4.611630493239819994e-01
3.570000000000000000e+02,4.558955760126023327e-01
3.580000000000000000e+02,4.507171938226240959e-01
3.590000000000000000e+02,4.456259908779996448e-01
3.600000000000000000e+02,4.406201043515001747e-01
3.610000000000000000e+02,4.356977190114609821e-01
3.620000000000000000e+02,4.308570658171297363e-01
3.630000000000000000e+02,4.260964205608132604e-01
3.640000000000000000e+02,4.214141025550869890e-01
3.650000000000000000e+02,4.168084733634120909e-01
3.660000000000000000e+02,4.122779355725615380e-01
3.670000000000000000e+02,4.078209316053278966e-01
3.680000000000000000e+02,4.034359425720443482e-01
3.690000000000000000e+02,3.991214871595083480e-01
3.700000000000000000e+02,3.948761205559547238e-01
3.710000000000000000e+02,3.906984334107790335e-01
3.720000000000000000e+02,3.865870508277635120e-01
3.730000000000000000e+02,3.825406313906050126e-01
3.740000000000000000e+02,3.785578662195938637e-01
3.750000000000000000e+02,3.746374780583361930e-01
3.760000000000000000e+02,3.707782203894574025e-01
3.770000000000000000e+02,3.669788765782630580e-01
3.780000000000000000e+02,3.632382590433740899e-01
3.790000000000000000e+02,3.595552084533931159e-01
3.800000000000000000e+02,3.559285929486926681e-01
3.810000000000000000e+02,3.523573073874503581e-01
3.820000000000000000e+02,3.488402726150929833e-01
3.830000000000000000e+02,3.453764347563392789e-01
3.840000000000000000e+02,3.419647645290640470e-01
3.850000000000000000e+02,3.386042565792373726e-01
3.860000000000000000e+02,3.352939288362147829e-01
3.870000000000000000e+02,3.320328218876893445e-01
3.880000000000000000e+02,3.288199983736354026e-01
3.890000000000000000e+02,3.256545423986066390e-01
3.900000000000000000e+02,3.225355589617619478e-01
3.910000000000000000e+02,3.194621734040289929e-01
3.920000000000000000e+02,3.164335308718354556e-01
3.930000000000000000e+02,3.134487957968469241e-01
3.940000000000000000e+02,3.105071513911824010e-01
3.950000000000000000e+02,3.076077991576025017e-01
3.960000000000000000e+02,3.047499584141616924e-01
3.970000000000000000e+02,3.019328658328609416e-01
3.980000000000000000e+02,2.991557749918358766e-01
3.990000000000000000e+02,2.964179559406410203e-01
4.000000000000000000e+02,2.937186947781976198e-01
4.010000000000000000e+02,2.910572932430038340e-01
4.020000000000000000e+02,2.884330683152015462e-01
